id,hdbscan isolation scores,hdbscan isolation detector
1,0.00644160035089314,1
2,-0.04543353828737362,-1
3,0.10144735284071621,1
4,0.07087313008546459,1
5,0.09971886238804895,1
6,0.10729726445812865,1
7,0.10349980265686137,1
8,0.11333510479674203,1
9,0.029250000247786623,1
10,0.06111347958271757,1
11,0.11619613410376783,1
12,0.05760490333854734,1
13,0.09243733653237274,1
14,0.0520875507204282,1
15,0.09875795279482563,1
16,0.04168902145227715,1
17,0.08239503387980368,1
18,0.081482801429975,1
19,0.09971886238804895,1
20,0.1112611744019425,1
21,0.04419715585507333,1
22,0.029304650689280343,1
23,0.02527205891177775,1
24,0.05896898602023892,1
25,0.027738001927140987,1
26,0.036726158860189206,1
27,0.1147376347592764,1
28,-0.07677139606123018,-1
29,0.08476497572415825,1
30,0.05681307211988773,1
31,0.004787615007618429,1
32,0.08235287903318195,1
33,-0.28815793759432795,-1
34,0.10371723845421077,1
35,0.09734239086311547,1
36,0.004000028937023337,1
37,0.08310865036890874,1
38,0.07746807863660427,1
39,-0.042813085500317816,-1
40,0.017141289135880422,1
41,-0.00046777720003909895,-1
42,0.0018711088001564513,1
43,-0.12754306073133803,-1
44,-0.013679426797304495,-1
45,-0.24213498155933433,-1
46,-0.1865240984518458,-1
47,-0.1865240984518458,-1
